Header,ID,Checksum,Inside temperature (°C),Outside temperature (°C),Pressure (Pa),Humidity (%),Latitude (°N),Longitude (°E),Altitude (m),Hour,Minute,Second,Radioactivity (CPM),Voltage (V)
170,0,18,34.23,31.50,96604,30.64,0.00000,0.00000,0,0,0,0,15,4.180
170,1,1,35.09,31.56,96602,29.49,0.00000,0.00000,0,0,0,0,505,3.700
170,2,188,35.85,31.69,96606,28.65,0.00000,0.00000,0,9,15,30,27,4.175
170,3,41,36.49,32.06,96608,27.76,0.00000,0.00000,0,9,16,17,40,3.700
170,4,53,37.03,31.87,96603,27.67,0.00000,0.00000,0,9,17,4,25,4.169
170,5,171,37.54,32.06,96599,27.39,0.00000,0.00000,0,9,17,51,17,3.700
170,6,236,37.97,32.56,96592,27.05,0.00000,0.00000,0,9,18,38,29,4.164
170,7,53,38.39,32.50,96596,26.91,0.00000,0.00000,0,9,19,25,27,4.164
170,8,196,40.38,31.25,96584,24.78,41.43831,-1.23876,493,9,24,2,12,3.700
170,9,202,40.70,30.94,96588,24.48,41.43831,-1.23879,470,9,24,49,25,3.700
170,10,81,40.85,31.00,96549,23.29,41.43824,-1.23880,444,9,25,36,25,3.700
170,11,236,41.14,30.00,95419,23.33,41.43687,-1.23757,547,9,26,23,29,4.147
170,12,22,41.39,28.81,94017,22.48,41.43530,-1.23701,681,9,27,10,30,4.158
170,13,64,41.62,27.69,92799,21.80,41.43375,-1.23734,718,9,27,57,26,4.153
170,14,198,41.85,27.00,91847,21.18,41.43280,-1.23656,868,9,28,41,24,4.153
170,15,193,42.03,26.94,90302,20.72,41.43191,-1.23543,1029,9,29,28,35,3.700
170,16,57,42.18,26.62,88765,19.58,41.43010,-1.23490,1177,9,30,15,24,4.158
170,17,66,42.34,27.00,87361,19.06,41.42966,-1.23554,1315,9,31,2,26,3.700
170,18,1,42.51,26.87,85988,18.33,41.43051,-1.23652,1456,9,31,49,24,4.142
170,19,35,42.64,27.62,84917,18.06,41.43197,-1.23734,1563,9,32,36,18,3.700
170,20,7,42.79,29.56,83488,17.43,41.43284,-1.23737,1712,9,33,23,33,4.147
170,21,19,42.93,27.37,82241,17.06,41.43436,-1.23644,1842,9,34,10,29,3.700
170,22,186,43.06,27.13,80761,16.48,41.43639,-1.23531,1999,9,34,57,42,4.120
170,23,245,43.14,26.75,79438,15.92,41.43775,-1.23439,2139,9,35,44,53,4.142
170,24,54,43.16,26.75,78215,15.52,41.43791,-1.23318,2275,9,36,31,47,4.131
170,25,147,43.22,25.62,77219,14.96,41.43738,-1.23168,2385,9,37,18,24,4.131
170,26,157,43.33,26.44,76517,14.79,41.43727,-1.23014,2464,9,38,5,60,3.700
170,27,86,43.43,27.44,75880,14.60,41.43707,-1.22893,2536,9,38,52,57,3.700
170,28,252,43.54,27.69,75319,14.23,41.43708,-1.22773,2601,9,39,39,40,3.700
170,29,73,43.65,27.44,74809,13.95,41.43718,-1.22672,2656,9,40,26,36,4.120
170,30,16,43.79,27.56,74217,13.54,41.43704,-1.22561,2724,9,41,13,27,3.700
170,31,188,43.85,25.50,72928,12.72,41.43647,-1.22496,2872,9,42,0,39,3.700
170,32,205,43.90,24.44,71998,12.29,41.43566,-1.22422,2979,9,42,47,40,4.136
170,33,54,43.97,23.81,70986,12.00,41.43485,-1.22388,3098,9,43,34,24,3.700
170,34,19,44.02,22.13,69634,11.46,41.43412,-1.22284,3261,9,44,21,43,3.700
170,35,70,44.05,20.62,68455,10.96,41.43340,-1.22156,3402,9,45,8,29,4.131
170,36,250,44.04,18.87,67182,10.53,41.43317,-1.22044,3557,9,45,55,55,3.700
170,37,248,44.00,17.69,66108,10.16,41.43303,-1.21978,3690,9,46,42,35,3.700
170,38,182,43.90,17.06,65117,9.88,41.43379,-1.21897,3813,9,47,29,55,4.125
170,39,136,43.76,17.06,64245,9.69,41.43494,-1.21805,3923,9,48,16,66,4.098
170,40,61,43.63,17.19,63424,9.55,41.43662,-1.21642,4029,9,49,3,72,4.114
170,41,154,43.52,17.94,62665,9.51,41.43840,-1.21450,4126,9,49,50,88,4.120
170,42,48,43.48,20.69,61833,9.33,41.43986,-1.21258,4235,9,50,37,72,4.120
