Latitude (°N),Longitude (°E),Altitude (m),Hour,Minute,Second
41.43831,-1.23876,493,09,24,02
41.43831,-1.23879,470,09,24,49
41.43824,-1.23880,444,09,25,36
41.43687,-1.23757,547,09,26,23
41.43530,-1.23701,681,09,27,10
41.43375,-1.23734,718,09,27,57
41.43280,-1.23656,868,09,28,41
41.43191,-1.23543,1029,09,29,28
41.43010,-1.23490,1177,09,30,15
41.42966,-1.23554,1315,09,31,02
41.43051,-1.23652,1456,09,31,49
41.43197,-1.23734,1563,09,32,36
41.43284,-1.23737,1712,09,33,23
41.43436,-1.23644,1842,09,34,10
41.43639,-1.23531,1999,09,34,57
41.43775,-1.23439,2139,09,35,44
41.43791,-1.23318,2275,09,36,31
41.43738,-1.23168,2385,09,37,18
41.43727,-1.23014,2464,09,38,05
41.43707,-1.22893,2536,09,38,52
41.43708,-1.22773,2601,09,39,39
41.43718,-1.22672,2656,09,40,26
41.43704,-1.22561,2724,09,41,13
41.43647,-1.22496,2872,09,42,00
41.43566,-1.22422,2979,09,42,47
41.43485,-1.22388,3098,09,43,34
41.43412,-1.22284,3261,09,44,21
41.43340,-1.22156,3402,09,45,08
41.43317,-1.22044,3557,09,45,55
41.43303,-1.21978,3690,09,46,42
41.43379,-1.21897,3813,09,47,29
41.43494,-1.21805,3923,09,48,16
41.43662,-1.21642,4029,09,49,03
41.43840,-1.21450,4126,09,49,50
41.43986,-1.21258,4235,09,50,37
41.44098,-1.21040,4343,09,51,24
41.44212,-1.20808,4445,09,52,11
41.44309,-1.20573,4535,09,52,58
41.44481,-1.20276,4653,09,53,45
41.44627,-1.19857,4788,09,54,32
41.44795,-1.19273,4939,09,55,19
41.44976,-1.18597,5089,09,56,06
41.45235,-1.17883,5254,09,56,53
41.45539,-1.17057,5420,09,57,40
41.45813,-1.16185,5555,09,58,27
41.46136,-1.15122,5701,09,59,14
41.46433,-1.13993,5808,10,00,01
41.46697,-1.12892,5899,10,00,48
41.46965,-1.11848,5988,10,01,35
41.47169,-1.10835,6118,10,02,22
41.47321,-1.09827,6247,10,03,09
41.47485,-1.08842,6350,10,03,56
41.47683,-1.07837,6439,10,04,43
41.47893,-1.06843,6518,10,05,30
41.48130,-1.05859,6588,10,06,17
41.48424,-1.04814,6671,10,07,04
41.48753,-1.03768,6743,10,07,51
41.49117,-1.02706,6813,10,08,38
41.49563,-1.01632,6897,10,09,25
41.50035,-1.00586,6986,10,10,12
41.50504,-0.99568,7080,10,10,59
41.51003,-0.98636,7170,10,11,46
41.51495,-0.97715,7267,10,12,33
41.51970,-0.96774,7373,10,13,20
41.52458,-0.95827,7468,10,14,07
41.52947,-0.94877,7568,10,14,54
